Ball-Number,Commentary,Date and Time,over,ball,runs,happend_on_ball,extra
48.2,"Starc to Pant, 2 runs, neat tuck off the pads into the on-side and they get a brace. That was excellent thinking from Pant","Dec 18, 2018 8:16:27 AM",48,2,2.0,,0
48.1,"Starc to Pant, no run, squares the batsman up and has been stabbed away just behind square","Dec 18, 2018 8:15:40 AM",48,1,0.0,,0
47.6,"Lyon to U Yadav, no run, another firm push back to the bowler","Dec 18, 2018 8:14:28 AM",47,6,0.0,,0
47.5,"Lyon to U Yadav, no run, stays behind the line of the ball and defends it into the off-side","Dec 18, 2018 8:14:09 AM",47,5,0.0,,0
47.4,"Lyon to Pant, 1 run, stays back and punches it into the off-side for a single","Dec 18, 2018 8:13:36 AM",47,4,1.0,,0
47.3,"Lyon to Pant, no run, turning away and left alone","Dec 18, 2018 8:13:12 AM",47,3,0.0,,0
47.2,"Lyon to Pant, no run, tapped out into the off-side","Dec 18, 2018 8:13:03 AM",47,2,0.0,,0
47.1,"Lyon to Pant, no run, and that was almost over! Looks to throw his bat at it and gets it off the splice of the bat. The ball lands just short of cover","Dec 18, 2018 8:12:59 AM",47,1,0.0,,0
46.6,"Starc to Hanuma Vihari, <b>out</b> Caught by Marcus Harris!! That nipped into the batsman, Hanuma got an inside edge and it lobbed up for the man at square leg to take it. Off the thigh pad and it carried a long distance for the fielder to take an easy catch. His resistance has ended and that too on an unfortunate note. <b>Hanuma Vihari c Marcus Harris b Starc 28(75) [4s-4]</b>","Dec 18, 2018 8:11:14 AM",46,6,,W,0
46.5,"Starc to Hanuma Vihari, no run, another length delivery channelling away and has been stabbed out into the off-side","Dec 18, 2018 8:09:36 AM",46,5,0.0,,0
46.4,"Starc to Hanuma Vihari, no run, stays behind the back of a length delivery and defends it into the off-side","Dec 18, 2018 8:09:00 AM",46,4,0.0,,0
46.3,"Starc to Pant, 1 run, plays a loose drive outside off and gets it off the outer edge towards deep third man for a single","Dec 18, 2018 8:08:21 AM",46,3,1.0,,0
46.2,"Starc to Hanuma Vihari, 1 run, extra bounce climbing up on to the ribs, has been jabbed down into the on-side for a single","Dec 18, 2018 8:07:44 AM",46,2,1.0,,0
46.1,"Starc to Hanuma Vihari, no run, bangs the ball in outside off and has been left alone as Hanuma Vihari dropped his wrists","Dec 18, 2018 8:06:53 AM",46,1,0.0,,0
45.6,"Lyon to Hanuma Vihari, 1 run, kneels down and sweeps it to deep square leg for a single","Dec 18, 2018 8:05:56 AM",45,6,1.0,,0
45.5,"Lyon to Hanuma Vihari, no run, gets hit on the back pad after trying to charge down the track. The ball drops dead into the off-side","Dec 18, 2018 8:05:27 AM",45,5,0.0,,0
45.4,"Lyon to Hanuma Vihari, no run, flatter ball, punched back to the bowler","Dec 18, 2018 8:05:08 AM",45,4,0.0,,0
45.3,"Lyon to Hanuma Vihari, no run, charges out and pushes the ball away into the off-side","Dec 18, 2018 8:04:50 AM",45,3,0.0,,0
45.2,"Lyon to Hanuma Vihari, no run, looks to paddle away a flatter ball and misses. Gets rapped on the pads","Dec 18, 2018 8:04:30 AM",45,2,0.0,,0
45.1,"Lyon to Hanuma Vihari, no run, goes back and stabs the ball out into the off-side","Dec 18, 2018 8:04:12 AM",45,1,0.0,,0
44.6,"Starc to Pant, no run, brute out of nowhere! The ball lands just outside off and takes off to whizz past the outer edge. Pant greets the stare from Starc with a smile","Dec 18, 2018 8:03:21 AM",44,6,0.0,,0
44.5,"Starc to Pant, no run, shorter ball outside off and has been left alone","Dec 18, 2018 8:02:42 AM",44,5,0.0,,0
44.4,"Starc to Pant, no run, length delivery outside off and has been pushed out into the off-side","Dec 18, 2018 8:02:06 AM",44,4,0.0,,0
44.3,"Starc to Pant, no run, full and little wide, Pant does not take the bait","Dec 18, 2018 8:01:25 AM",44,3,0.0,,0
44.2,"Starc to Pant, no run, back of a length delivery just outside off and has been pushed out into the off-side","Dec 18, 2018 8:00:48 AM",44,2,0.0,,0
44.1,"Starc to Pant, no run, back of a length delivery and has been pushed away into the off-side off the back foot","Dec 18, 2018 8:00:04 AM",44,1,0.0,,0
43.6,"Lyon to Hanuma Vihari, no run, tossed up delivery and has been blocked out into the off-side","Dec 18, 2018 7:59:03 AM",43,6,0.0,,0
43.5,"Lyon to Hanuma Vihari, no run, flatter ball, pushed back to the bowler","Dec 18, 2018 7:58:44 AM",43,5,0.0,,0
43.4,"Lyon to Pant, 1 run, goes back to a flatter ball and inside edged into the on-side for a single. That was tight","Dec 18, 2018 7:58:22 AM",43,4,1.0,,0
43.3,"Lyon to Pant, no run, stays behind the line of the ball and defends it","Dec 18, 2018 7:57:49 AM",43,3,0.0,,0
43.2,"Lyon to Pant, no run, turns away sharply and beats the forward push. The keeper whips the bails off but his feet were back in the crease","Dec 18, 2018 7:57:21 AM",43,2,0.0,,0
43.1,"Lyon to Pant, no run, tossed up delivery and dipping in, defends it","Dec 18, 2018 7:57:01 AM",43,1,0.0,,0
42.6,"Starc to Pant, 1 run, square drives the ball on the up and gets it to deep point for a single","Dec 18, 2018 7:56:09 AM",42,6,1.0,,0
42.5,"Starc to Pant, no run, looks to draw the false shot by bowling a very full and wide ball. But Pant lets it go","Dec 18, 2018 7:55:27 AM",42,5,0.0,,0
42.4,"Starc to Pant, no run, very full, tailing in a bit and has been knocked away into the on-side","Dec 18, 2018 7:54:51 AM",42,4,0.0,,0
42.3,"Starc to Pant, no run, shapes the ball in and has been dinked into the on-side","Dec 18, 2018 7:54:13 AM",42,3,0.0,,0
42.2,"Starc to Hanuma Vihari, 1 run, angles the ball in and has been stabbed away into the on-side off the inside edge","Dec 18, 2018 7:53:15 AM",42,2,1.0,,0
42.1,"Starc to Hanuma Vihari, no run, angled across and has been left alone","Dec 18, 2018 7:52:34 AM",42,1,0.0,,0
41.6,"Lyon to Pant, no run, flat bats the ball awya into the off-side, picked up by the man at point","Dec 18, 2018 7:51:26 AM",41,6,0.0,,0
41.5,"Lyon to Pant, no run, that drifts in and Pant fends the ball out into the off-side","Dec 18, 2018 7:51:03 AM",41,5,0.0,,0
41.4,"Lyon to Pant, no run, tossed up delivery outside off and has been left alone","Dec 18, 2018 7:50:44 AM",41,4,0.0,,0
41.3,"Lyon to Pant, no run, flatter ball and has been pushed back to the bowler","Dec 18, 2018 7:50:26 AM",41,3,0.0,,0
